Experiment,Algorithm,Steps,Dead Ends,Generated States,Memory Usage (MB)
1,A*,1,0,2,122.80859375
2,A*,19,6,92,122.9453125
3,A*,25,2,70,122.95703125
4,A*,,2,2,122.95703125
5,A*,20,8,96,122.95703125
6,A*,,21,286,122.9609375
7,A*,13,0,52,122.97265625
8,A*,27,0,86,122.97265625
9,A*,25,0,123,122.97265625
10,A*,10,1,21,122.97265625
11,A*,,23,268,122.97265625
12,A*,12,1,46,122.97265625
13,A*,17,0,37,122.97265625
14,A*,26,5,103,122.9765625
15,A*,17,2,36,122.98046875
16,A*,,18,309,122.98046875
17,A*,,15,265,122.98046875
18,A*,,25,217,122.98046875
19,A*,13,1,33,122.98046875
20,A*,,16,269,122.98046875
1,Depth-Limited Search,,6,203,122.98046875
2,Depth-Limited Search,25,4,95,122.98046875
3,Depth-Limited Search,,11,166,122.984375
4,Depth-Limited Search,,8,76,122.98828125
5,Depth-Limited Search,14,6,32,122.9921875
6,Depth-Limited Search,23,0,48,123.0
7,Depth-Limited Search,,7,143,123.00390625
8,Depth-Limited Search,25,13,119,123.00390625
9,Depth-Limited Search,14,2,3,123.00390625
10,Depth-Limited Search,,6,94,123.01171875
11,Depth-Limited Search,2,0,0,123.01171875
12,Depth-Limited Search,,10,185,123.015625
13,Depth-Limited Search,,6,111,123.01953125
14,Depth-Limited Search,27,0,55,123.01953125
15,Depth-Limited Search,20,0,0,123.0234375
16,Depth-Limited Search,,9,223,123.0390625
17,Depth-Limited Search,,7,97,123.04296875
18,Depth-Limited Search,7,3,16,123.046875
19,Depth-Limited Search,,14,186,123.05859375
20,Depth-Limited Search,,15,210,123.0625
